Back,,,,Chrome,Firefox,IE,,,,,,
ID_064,,"Kiểm tra field required ""BU xuất hàng"" là NULL
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn BU xuất hàng""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_065,,"Kiểm tra field required ""Tên khách hàng"" là NULL
Group 2 ""Thông tin khách hàng""","- Chọn ""Khách hàng"" = Công ty TNHH ABC
- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Khách hàng"" được chọn",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_066,,"Kiểm tra field required là NULL
Group 3 ""Thông tin thanh toán""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_067,,"Kiểm tra field required là NULL
Group 4 ""Thông tin xuất hóa đơn""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_068,,"Kiểm tra field required ""BU xuất hàng"" là NULL
Group 5 ""Thông tin vận chuyển""","- Chọn ""BU xuất hàng"" = BHC (hoặc bất kỳ)
- Chọn ""Kho WMS"" = true
- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""BU xuất hàng"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_069,,"Kiểm tra field required ""Tổ chức xuất hàng"" là NULL
Group 5 ""Thông tin vận chuyển""","- Chọn ""Pháp nhân bán hàng"" = BHC
- Chọn ""WMS"" = false
- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn tổ chức xuất hàng""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_070,,"Kiểm tra field required ""Kho xuất hàng"" là NULL
Group 5 ""Thông tin vận chuyển""","- Chọn ""Khách hàng"" = Công ty TNHH ABC
- Chọn ""WMS"" = true
- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Mặc định load dữ liệu theo ""Khách hàng"" được chọn
- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn kho xuất hàng""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_071,,"Kiểm tra field required ""Địa chỉ kho xuất hàng"" là NULL
Group 5 ""Thông tin vận chuyển""","- Chọn ""Kho xuất hàng"" = Kho HCM
- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Kho xuất hàng"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_072,,"Kiểm tra field required ""Địa chỉ giao hàng"" là NULL
Group 5 ""Thông tin vận chuyển""","- Chọn ""Kho xuất hàng"" = Kho HCM
- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Mặc định load dữ liệu theo ""Khách hàng"" được chọn
- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn địa chỉ giao hàng""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_073,,"Kiểm tra field required ""Giao hàng từ ngày"" là NULL
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn giao hàng từ ngày""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_074,,"Kiểm tra field required ""Giao hàng đến ngày"" là NULL
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn giao hàng đến ngày""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_075,,"Kiểm tra field required ""Người nhận hàng"" là NULL
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn người nhận hàng""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_076,,"Kiểm tra field required ""Phương thức giao hàng"" là NULL
Group 5 ""Thông tin vận chuyển""","- Chọn ""Yêu cầu vận chuyển"" = true
- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Field hiển thị khi chọn ""Yêu cầu vận chuyển"" = true
- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn phương thức giao hàng""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_077,,"Kiểm tra field required ""Xe vận chuyển"" là NULL
Group 5 ""Thông tin vận chuyển""","- Chọn ""Yêu cầu vận chuyển"" = true
- Chọn ""Phương thức giao hàng"" = Trip (Tính theo chuyến)
- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Field hiển thị khi chọn ""Yêu cầu vận chuyển"" = true
- Field bắt buộc khi chọn ""Phương thức giao hàng"" = Trip (Tính theo chuyến)
- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn xe vận chuyển""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_078,,"Kiểm tra field required ""Đơn vị vận chuyển"" là NULL
Group 5 ""Thông tin vận chuyển""","- Chọn ""Yêu cầu vận chuyển"" = true
- Chọn ""Phương thức giao hàng"" = Ton (Tính theo khối lượng)
- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Field hiển thị khi chọn ""Yêu cầu vận chuyển"" = true
- Field bắt buộc khi chọn ""Phương thức giao hàng"" = Ton (Tính theo khối lượng)
- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn đơn vị vận chuyển""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_079,,"Kiểm tra field required ""Phương thức bốc xếp"" là NULL
Group 6 ""Thông tin bốc xếp""","- Chọn ""Yêu cầu bốc xếp"" = true
- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Field hiển thị khi chọn ""Yêu cầu bốc xếp"" = true
- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn phương thức bốc xếp""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_080,,"Kiểm tra field required ""Bảng giá bốc xếp"" là NULL
Group 6 ""Thông tin bốc xếp""","- Chọn ""Yêu cầu bốc xếp"" = true
- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Field hiển thị khi chọn ""Yêu cầu bốc xếp"" = true
- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn bảng giá bốc xếp""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_081,,"Kiểm tra field not required ""Mô tả"" là <khoảng trắng>
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = <khoảng trắng><khoảng trắng>
- Chọn button ""Thêm báo giá""","- Field chỉ nhập khoảng trắng, khi lưu lại giá trị là trống
- Field hiển thị placeholder",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_082,,"Kiểm tra field not required ""Ghi chú"" là <khoảng trắng>
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = <khoảng trắng><khoảng trắng>
- Chọn button ""Thêm báo giá""","- Field chỉ nhập khoảng trắng, khi lưu lại giá trị là trống
- Field hiển thị placeholder",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_083,,"Kiểm tra field not required ""Số báo giá"" là <khoảng trắng>
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = <khoảng trắng><khoảng trắng>
- Chọn button ""Thêm báo giá""","- Field chỉ nhập khoảng trắng, khi lưu lại giá trị là trống
- Field hiển thị placeholder",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_084,,"Kiểm tra field not required là <khoảng trắng>
Group 2 ""Thông tin khách hàng""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_085,,"Kiểm tra field not required là <khoảng trắng>
Group 3 ""Thông tin thanh toán""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_086,,"Kiểm tra field not required ""Tên xuất hóa đơn"" là <khoảng trắng>
Group 4 ""Thông tin xuất hóa đơn""","- Nhập/Paste giá trị = <khoảng trắng><khoảng trắng>
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_087,,"Kiểm tra field not required ""Địa chỉ xuất hóa đơn"" là <khoảng trắng>
Group 4 ""Thông tin xuất hóa đơn""","- Nhập/Paste giá trị = <khoảng trắng><khoảng trắng>
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_088,,"Kiểm tra field not required ""Mã số thuế xuất hóa đơn"" là <khoảng trắng>
Group 4 ""Thông tin xuất hóa đơn""","- Nhập/Paste giá trị = <khoảng trắng><khoảng trắng>
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_089,,"Kiểm tra field not required ""Địa chỉ kho xuất hàng"" là <khoảng trắng>
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = <khoảng trắng><khoảng trắng>
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_090,,"Kiểm tra field not required là <khoảng trắng>
Group 6 ""Thông tin bốc xếp""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_091,,"Kiểm tra ""Số thập phân của giá"" là giá trị <NUMBER>
Group 1 ""Thông tin chung""",Nhập/Paster giá trị = 1.000,"- Field là readonly
- Mặc định load dữ liệu theo ""Bảng giá"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_092,,"Kiểm tra là giá trị <NUMBER>
Group 2 ""Thông tin khách hàng""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_093,,"Kiểm tra là giá trị <NUMBER>
Group 3 ""Thông tin thanh toán""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_094,,"Kiểm tra ""Tỷ giá"" là giá trị <NUMBER>
Group 4 ""Thông tin xuất hóa đơn""","Nhập/Paster giá trị = 1,52","- Field là readonly
- Mặc định load dữ liệu theo ""Tỷ giá tham chiếu"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_095,,"Kiểm tra là giá trị <NUMBER>
Group 5 ""Thông tin vận chuyển""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_096,,"Kiểm tra là giá trị <NUMBER>
Group 6 ""Thông tin bốc xếp""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_097,,"Kiểm tra ""Ngày báo giá"" là giá trị đúng định dạng dd/MM/yyyy
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 31/12/2026
- Focus ra ngoài",Field giữ giá trị nhập hợp lệ,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_098,,"Kiểm tra ""Ngày báo giá"" là giá trị THIẾU SỐ 0 ĐỆM
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 1/1/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_099,,"Kiểm tra ""Ngày báo giá"" là giá trị SAI KÝ TỰ PHÂN CÁCH (dùng - thay /)
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 31-12-2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_100,,"Kiểm tra ""Ngày báo giá"" là giá trị SAI THỨ TỰ (yyyy/MM/dd)
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 12/31/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_101,,"Kiểm tra ""Ngày báo giá"" là giá trị NGÀY KHÔNG TỒN TẠI
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 32/01/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_102,,"Kiểm tra ""Ngày báo giá"" là giá trị NGÀY KHÔNG PHẢI TỪ 01-31
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 00/01/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_103,,"Kiểm tra ""Ngày báo giá"" là giá trị THÁNG > 12
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01/13/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_104,,"Kiểm tra ""Ngày báo giá"" là giá trị THÁNG < 01
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01/00/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_105,,"Kiểm tra ""Ngày báo giá"" là giá trị NĂM NHUẬN
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 29/02/2024
- Focus ra ngoài",Field giữ giá trị nhập hợp lệ,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_106,,"Kiểm tra ""Ngày báo giá"" là giá trị KHÔNG PHẢI NĂM NHUẬN
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 29/02/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_107,,"Kiểm tra ""Ngày báo giá"" là giá trị THÁNG 4 CHỈ CÓ 30 NGÀY
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 31/04/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_108,,"Kiểm tra ""Ngày báo giá"" là giá trị KHÔNG PHẢI SỐ
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = abcd
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_109,,"Kiểm tra ""Ngày báo giá"" là giá trị NĂM KHÔNG ĐỦ 4 KÝ TỰ
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 11/11/26
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_110,,"Kiểm tra ""Ngày báo giá"" là giá trị CÓ KHOẢNG TRẮNG ĐẦU
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = <khoảng trắng>31/12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_111,,"Kiểm tra ""Ngày báo giá"" là giá trị CÓ KHOẢNG TRẮNG GIỮA
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 31<khoảng trắng>/12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_112,,"Kiểm tra ""Ngày báo giá"" là giá trị TẤT CẢ GIÁ ĐỀU KHÔNG HỢP LỆ
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 00/00/0000
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_113,,"Kiểm tra ""Ngày báo giá"" là giá trị KÝ TỰ ĐẶC BIỆT
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = @@/##/$$$$
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_114,,"Kiểm tra ""Ngày báo giá"" là giá trị THIẾU NGÀY
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = /12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_115,,"Kiểm tra ""Ngày báo giá"" là giá trị THIẾU THÁNG
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01//2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_116,,"Kiểm tra ""Ngày báo giá"" là giá trị THIẾU NĂM
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01/12/
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_117,,"Kiểm tra ""Ngày báo giá"" là giá trị VƯỢT ĐỘ DÀI NĂM
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01/12/999999
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_118,,"Kiểm tra ""Ngày báo giá"" là giá trị ÂM
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 15/08/-2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_119,,"Kiểm tra ""Hiệu lực từ"" là giá trị đúng định dạng dd/MM/yyyy
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 31/12/2026
- Focus ra ngoài",Field giữ giá trị nhập hợp lệ,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_120,,"Kiểm tra ""Hiệu lực từ"" là giá trị THIẾU SỐ 0 ĐỆM
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 1/1/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_121,,"Kiểm tra ""Hiệu lực từ"" là giá trị SAI KÝ TỰ PHÂN CÁCH (dùng - thay /)
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 31-12-2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_122,,"Kiểm tra ""Hiệu lực từ"" là giá trị SAI THỨ TỰ (yyyy/MM/dd)
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 12/31/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_123,,"Kiểm tra ""Hiệu lực từ"" là giá trị NGÀY KHÔNG TỒN TẠI
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 32/01/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_124,,"Kiểm tra ""Hiệu lực từ"" là giá trị NGÀY KHÔNG PHẢI TỪ 01-31
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 00/01/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_125,,"Kiểm tra ""Hiệu lực từ"" là giá trị THÁNG > 12
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01/13/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_126,,"Kiểm tra ""Hiệu lực từ"" là giá trị THÁNG < 01
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01/00/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_127,,"Kiểm tra ""Hiệu lực từ"" là giá trị NĂM NHUẬN
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 29/02/2024
- Focus ra ngoài",Field giữ giá trị nhập hợp lệ,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_128,,"Kiểm tra ""Hiệu lực từ"" là giá trị KHÔNG PHẢI NĂM NHUẬN
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 29/02/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_129,,"Kiểm tra ""Hiệu lực từ"" là giá trị THÁNG 4 CHỈ CÓ 30 NGÀY
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 31/04/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_130,,"Kiểm tra ""Hiệu lực từ"" là giá trị KHÔNG PHẢI SỐ
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = abcd
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_131,,"Kiểm tra ""Hiệu lực từ"" là giá trị NĂM KHÔNG ĐỦ 4 KÝ TỰ
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 11/11/26
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_132,,"Kiểm tra ""Hiệu lực từ"" là giá trị CÓ KHOẢNG TRẮNG ĐẦU
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = <khoảng trắng>31/12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_133,,"Kiểm tra ""Hiệu lực từ"" là giá trị CÓ KHOẢNG TRẮNG GIỮA
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 31<khoảng trắng>/12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_134,,"Kiểm tra ""Hiệu lực từ"" là giá trị TẤT CẢ GIÁ ĐỀU KHÔNG HỢP LỆ
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 00/00/0000
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_135,,"Kiểm tra ""Hiệu lực từ"" là giá trị KÝ TỰ ĐẶC BIỆT
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = @@/##/$$$$
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_136,,"Kiểm tra ""Hiệu lực từ"" là giá trị THIẾU NGÀY
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = /12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_137,,"Kiểm tra ""Hiệu lực từ"" là giá trị THIẾU THÁNG
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01//2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_138,,"Kiểm tra ""Hiệu lực từ"" là giá trị THIẾU NĂM
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01/12/
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_139,,"Kiểm tra ""Hiệu lực từ"" là giá trị VƯỢT ĐỘ DÀI NĂM
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01/12/999999
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_140,,"Kiểm tra ""Hiệu lực từ"" là giá trị ÂM
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 15/08/-2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_141,,"Kiểm tra ""Hiệu lực đến"" là giá trị đúng định dạng dd/MM/yyyy
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 31/12/2026
- Focus ra ngoài",Field giữ giá trị nhập hợp lệ,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_142,,"Kiểm tra ""Hiệu lực đến"" là giá trị THIẾU SỐ 0 ĐỆM
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 1/1/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_143,,"Kiểm tra ""Hiệu lực đến"" là giá trị SAI KÝ TỰ PHÂN CÁCH (dùng - thay /)
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 31-12-2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_144,,"Kiểm tra ""Hiệu lực đến"" là giá trị SAI THỨ TỰ (yyyy/MM/dd)
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 12/31/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_145,,"Kiểm tra ""Hiệu lực đến"" là giá trị NGÀY KHÔNG TỒN TẠI
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 32/01/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
